asset_control_id,asset_id,control_id,enabled,coverage_percentage,effectiveness_score,last_verified,configuration_score,control_failure_count,residual_risk
AC-000001,AST-00001,CTRL-0021,True,80,0.52,2026-08-14,0.59,3,2.53
AC-000002,AST-00001,CTRL-0020,True,93,0.63,2026-08-16,0.87,2,1.53
AC-000003,AST-00001,CTRL-0013,False,0,0.0,2026-07-26,0.04,2,4.5
AC-000004,AST-00001,CTRL-0026,True,68,0.89,2026-08-28,0.66,3,1.74
AC-000005,AST-00001,CTRL-0023,False,0,0.0,2026-08-25,0.24,0,3.98
AC-000006,AST-00001,CTRL-0019,True,60,0.63,2026-06-29,0.72,3,2.61
AC-000007,AST-00001,CTRL-0017,True,98,0.54,2026-06-07,0.88,2,1.88
AC-000008,AST-00002,CTRL-0389,True,70,0.66,2026-07-03,0.62,0,0.74
AC-000009,AST-00002,CTRL-0381,True,81,0.66,2026-07-19,0.51,0,0.91
AC-000010,AST-00002,CTRL-0386,True,100,0.7,2026-07-17,0.94,3,0.47
AC-000011,AST-00002,CTRL-0378,True,75,0.38,2026-08-12,0.85,1,1.01
AC-000012,AST-00002,CTRL-0383,True,60,0.84,2026-07-17,0.95,2,0.82
AC-000013,AST-00002,CTRL-0384,True,67,0.76,2026-07-15,0.58,1,0.96
AC-000014,AST-00002,CTRL-0390,False,0,0.0,2026-07-08,0.06,9,1.68
AC-000015,AST-00002,CTRL-0377,True,74,0.53,2026-07-14,0.67,1,1.02
AC-000016,AST-00003,CTRL-0299,True,80,0.41,2026-07-11,0.96,3,6.38
AC-000017,AST-00003,CTRL-0296,True,73,0.6,2026-06-06,0.68,1,4.9
AC-000018,AST-00003,CTRL-0294,True,75,0.65,2026-08-26,0.53,2,5.1
AC-000019,AST-00003,CTRL-0295,False,0,0.0,2026-08-16,0.17,10,10.63
AC-000020,AST-00004,CTRL-0024,True,79,0.54,2026-07-21,0.84,0,4.25
AC-000021,AST-00004,CTRL-0013,False,0,0.0,2026-06-12,0.28,0,10.25
AC-000022,AST-00004,CTRL-0016,True,64,0.29,2026-06-25,0.78,2,7.41
AC-000023,AST-00004,CTRL-0014,True,81,0.59,2026-06-20,0.93,0,4.32
AC-000024,AST-00005,CTRL-0049,True,68,0.47,2026-06-28,0.75,3,1.16
AC-000025,AST-00005,CTRL-0043,True,70,0.75,2026-08-25,0.56,0,0.84
AC-000026,AST-00005,CTRL-0045,True,73,0.27,2026-07-05,0.91,3,1.16
AC-000027,AST-00005,CTRL-0048,True,81,0.38,2026-06-12,0.72,0,1.26
AC-000028,AST-00005,CTRL-0041,True,84,0.7,2026-06-28,0.69,0,0.73
AC-000029,AST-00005,CTRL-0047,True,100,0.73,2026-07-08,0.63,3,0.49
AC-000030,AST-00005,CTRL-0040,True,69,0.67,2026-08-12,0.81,0,1.02
AC-000031,AST-00006,CTRL-0167,False,0,0.0,2026-07-23,0.21,0,5.33
AC-000032,AST-00006,CTRL-0174,True,99,0.85,2026-08-28,0.85,2,1.16
AC-000033,AST-00006,CTRL-0177,True,78,0.73,2026-08-18,0.53,0,1.97
AC-000034,AST-00006,CTRL-0171,False,0,0.0,2026-08-27,0.02,0,4.42
AC-000035,AST-00006,CTRL-0164,True,88,0.48,2026-08-14,0.94,2,3.41
AC-000036,AST-00006,CTRL-0163,True,66,0.65,2026-08-17,0.89,2,2.81
AC-000037,AST-00006,CTRL-0168,False,0,0.0,2026-06-17,0.26,2,4.74
AC-000038,AST-00007,CTRL-0299,True,68,0.43,2026-06-09,0.8,2,5.98
AC-000039,AST-00007,CTRL-0295,False,0,0.0,2026-06-30,0.16,2,8.82
AC-000040,AST-00007,CTRL-0296,True,73,0.69,2026-06-10,0.85,0,3.86
AC-000041,AST-00007,CTRL-0300,True,81,0.64,2026-06-22,0.92,1,3.54
AC-000042,AST-00007,CTRL-0294,True,64,0.6,2026-09-03,0.74,0,4.48
AC-000043,AST-00007,CTRL-0298,False,0,0.0,2026-07-12,0.11,9,9.19
AC-000044,AST-00008,CTRL-0045,True,63,0.29,2026-06-22,0.6,3,7.35
AC-000045,AST-00008,CTRL-0042,True,100,0.93,2026-06-07,0.91,3,0.46
AC-000046,AST-00008,CTRL-0046,True,98,0.48,2026-08-25,0.9,2,4.21
AC-000047,AST-00009,CTRL-0151,False,0,0.0,2026-06-15,0.15,1,9.56
AC-000048,AST-00009,CTRL-0150,True,69,0.43,2026-07-16,0.98,3,6.6
AC-000049,AST-00009,CTRL-0153,True,87,0.93,2026-09-01,0.99,1,1.4
AC-000050,AST-00009,CTRL-0155,True,87,0.67,2026-08-01,0.6,1,2.88
AC-000051,AST-00010,CTRL-0294,True,97,0.58,2026-07-08,0.56,0,0.55
AC-000052,AST-00010,CTRL-0299,True,60,0.43,2026-07-08,0.8,0,0.95
AC-000053,AST-00010,CTRL-0297,True,93,0.82,2026-07-10,0.57,1,0.18
AC-000054,AST-00011,CTRL-0056,True,80,0.59,2026-07-12,0.73,1,5.04
AC-000055,AST-00011,CTRL-0060,False,0,0.0,2026-06-17,0.26,0,9.2
AC-000056,AST-00011,CTRL-0053,True,74,0.64,2026-08-25,0.54,1,4.45
AC-000057,AST-00011,CTRL-0061,False,0,0.0,2026-08-31,0.03,6,9.27
AC-000058,AST-00011,CTRL-0055,True,67,0.77,2026-06-19,0.96,0,4.46
AC-000059,AST-00011,CTRL-0054,False,0,0.0,2026-07-01,0.13,5,10.39
AC-000060,AST-00011,CTRL-0064,True,66,0.38,2026-07-12,0.51,2,6.98
AC-000061,AST-00012,CTRL-0136,True,70,0.51,2026-07-09,0.84,0,4.7
AC-000062,AST-00012,CTRL-0142,True,61,0.64,2026-07-27,0.76,3,4.23
AC-000063,AST-00012,CTRL-0144,False,0,0.0,2026-07-06,0.26,0,8.2
AC-000064,AST-00012,CTRL-0137,False,0,0.0,2026-07-26,0.08,1,7.8
AC-000065,AST-00012,CTRL-0130,False,0,0.0,2026-06-09,0.01,7,8.08
AC-000066,AST-00012,CTRL-0138,True,95,0.72,2026-07-13,0.58,0,2.48
AC-000067,AST-00012,CTRL-0139,True,79,0.68,2026-07-26,1.0,3,3.17
AC-000068,AST-00013,CTRL-0241,True,76,0.59,2026-06-11,0.59,3,2.68
AC-000069,AST-00013,CTRL-0239,True,88,0.88,2026-06-14,0.73,3,1.04
AC-000070,AST-00013,CTRL-0258,False,0,0.0,2026-07-29,0.14,4,5.39
AC-000071,AST-00013,CTRL-0248,False,0,0.0,2026-08-10,0.29,0,6.0
AC-000072,AST-00013,CTRL-0260,True,63,0.89,2026-07-31,0.99,1,2.6
AC-000073,AST-00013,CTRL-0245,True,62,0.83,2026-07-08,0.59,0,2.71
AC-000074,AST-00014,CTRL-0206,True,64,0.67,2026-06-10,0.78,0,4.01
AC-000075,AST-00014,CTRL-0189,True,91,0.66,2026-07-30,0.8,0,2.47
AC-000076,AST-00014,CTRL-0191,True,84,0.71,2026-06-12,0.62,0,2.36
AC-000077,AST-00014,CTRL-0205,True,87,0.7,2026-07-18,0.73,2,2.2
AC-000078,AST-00015,CTRL-0114,True,64,0.37,2026-08-05,0.76,2,6.26
AC-000079,AST-00015,CTRL-0105,True,71,0.31,2026-07-07,0.57,0,5.83
AC-000080,AST-00015,CTRL-0109,True,72,0.93,2026-07-20,1.0,1,3.16
AC-000081,AST-00015,CTRL-0101,False,0,0.0,2026-07-25,0.1,6,8.52
AC-000082,AST-00015,CTRL-0111,True,98,0.77,2026-07-24,0.61,1,1.91
AC-000083,AST-00015,CTRL-0104,True,100,0.66,2026-06-23,0.5,1,2.29
AC-000084,AST-00016,CTRL-0074,True,87,0.79,2026-08-01,0.7,3,2.27
AC-000085,AST-00016,CTRL-0067,True,77,0.46,2026-07-28,0.83,0,5.55
AC-000086,AST-00016,CTRL-0079,False,0,0.0,2026-06-27,0.0,4,10.52
AC-000087,AST-00016,CTRL-0080,True,98,0.5,2026-08-28,0.7,1,3.76
AC-000088,AST-00016,CTRL-0073,True,70,0.59,2026-07-04,0.6,2,6.1
AC-000089,AST-00016,CTRL-0068,False,0,0.0,2026-06-21,0.17,5,9.68
AC-000090,AST-00017,CTRL-0210,True,72,0.77,2026-08-05,0.69,3,1.76
AC-000091,AST-00017,CTRL-0211,False,0,0.0,2026-06-11,0.0,4,5.34
AC-000092,AST-00017,CTRL-0219,True,92,0.48,2026-08-27,0.87,1,2.8
