impact_id,asset_id,business_unit_id,revenue_per_hour,downtime_cost_per_hour,customer_impact_cost,data_record_cost,regulatory_penalty_estimate,legal_cost_estimate,recovery_cost_estimate,reputation_impact_cost,productivity_loss_per_hour,maximum_tolerable_loss,estimated_total_impact
IMP-000001,AST-00001,BU-0008,15096,21883,159,20658,265224,204531,330937,334363,9855,1266285,1660406
IMP-000002,AST-00002,BU-0150,111,200,15,18676,17527,13937,3085,3916,61,204264,43280
IMP-000003,AST-00003,BU-0124,11497,21468,1808,20768,106333,59491,278261,926572,5681,1676741,1887697
IMP-000004,AST-00004,BU-0009,30799,43352,2259,22388,349126,266286,224437,831491,19532,1365469,2714047
IMP-000005,AST-00005,BU-0025,951,1850,219,13341,676079,489589,20715,523284,502,8393139,1754286
IMP-000006,AST-00006,BU-0069,213087,313020,77924,7534,702124,308648,3890317,16846306,102573,14294444,29337799
IMP-000007,AST-00007,BU-0121,19660,38579,5866,10960,65092,46925,631606,1706392,6520,1757436,3381777
IMP-000008,AST-00008,BU-0023,77639,126212,22301,9718,83734,42860,1022601,3874959,42640,4771533,8075543
IMP-000009,AST-00009,BU-0063,137073,221531,53440,20812,1292928,604523,1179090,3889425,93407,19262693,12336150
IMP-000010,AST-00010,BU-0122,194,251,45,22293,27729,11198,3755,47933,61,487180,96684
IMP-000011,AST-00011,BU-0026,129344,195241,22855,16581,149170,95240,982042,12668310,59023,9043897,18603401
IMP-000012,AST-00012,BU-0058,92226,139026,34880,6371,111563,85405,1245273,1910762,47077,8654722,6724507
IMP-000013,AST-00013,BU-0107,1063971,1464023,229446,20064,13762511,10268986,16489057,59329097,719152,54038800,135215649
IMP-000014,AST-00014,BU-0087,183,243,100,17068,6171,2424,3825,157270,141,853266,175622
IMP-000015,AST-00015,BU-0044,9975,19720,2726,15184,124751,67792,137671,863694,5722,1468500,1669914
IMP-000016,AST-00016,BU-0035,132394,199781,27809,10823,456535,158254,1538915,15925306,76895,16094477,22901563
IMP-000017,AST-00017,BU-0090,719274,1287081,27622,20041,795176,245901,9441123,72640441,344697,64448976,114040207
IMP-000018,AST-00018,BU-0129,29749,48864,19689,14965,5823278,2696170,899217,6844444,22731,17773510,17455534
IMP-000019,AST-00019,BU-0055,55705,89849,947,8412,1486878,559249,692998,4166925,21143,10486980,9063373
IMP-000020,AST-00020,BU-0025,4120,6892,1208,18868,52429,18864,67375,2449554,1426,7388664,2754838
IMP-000021,AST-00021,BU-0102,132,165,48,20656,26771,20976,3262,4536,84,212846,59553
IMP-000022,AST-00022,BU-0126,46977,60511,2673,5384,227104,77498,1200259,3873126,22003,3595501,6832924
IMP-000023,AST-00023,BU-0053,3528,5305,99,17144,250236,146037,102940,297244,1157,9401488,923876
IMP-000024,AST-00024,BU-0027,81258,100713,13936,11406,963513,474889,1117561,2722135,27215,4104705,7709146
IMP-000025,AST-00025,BU-0144,1121793,1861856,144873,16492,8447267,6498115,10819909,57813012,863317,104107587,128407720
IMP-000026,AST-00026,BU-0138,53082,72289,9054,18431,2056028,1121365,1131134,12834665,32763,54907039,18887182
IMP-000027,AST-00027,BU-0045,19358,36472,2652,12731,45244,26064,232880,426247,10763,1350428,1608415
IMP-000028,AST-00028,BU-0016,67098,107255,14205,3781,1047347,552853,921484,6086072,28107,8881927,11196081
IMP-000029,AST-00029,BU-0092,22408,39448,570,13177,9130740,5406090,714932,6596758,13011,33076231,22795842
IMP-000030,AST-00030,BU-0152,149,216,111,12671,27524,13905,2549,13810,75,299952,63083
IMP-000031,AST-00031,BU-0103,773797,1449764,46685,16527,4437918,2378720,23720568,34797375,315732,104122743,100175602
IMP-000032,AST-00032,BU-0038,1058494,1941197,318352,22416,790338,486159,22945887,32696357,405695,63897182,103825821
IMP-000033,AST-00033,BU-0116,11944,20591,2341,5054,182263,68182,225073,1950408,5937,57592968,2922451
IMP-000034,AST-00034,BU-0054,91295,167310,7887,4383,1423281,541962,2814579,11981540,71694,12310290,20784689
IMP-000035,AST-00035,BU-0039,839966,1547053,43231,4208,391030,270093,13173631,20855742,402660,36656133,71862999
IMP-000036,AST-00036,BU-0137,942209,1542886,576549,10757,7904105,3795065,12140691,101290823,710305,65148489,162736497
IMP-000037,AST-00037,BU-0061,4058,5467,654,18818,718281,223661,67481,511342,1622,12975199,1652627
IMP-000038,AST-00038,BU-0100,344,604,79,5063,40605,16933,3696,29149,160,223601,104958
IMP-000039,AST-00039,BU-0074,137753,259639,30785,12790,1130506,845068,2580392,5539600,106095,8981942,16357687
IMP-000040,AST-00040,BU-0006,38607,46627,13957,7004,126225,96851,772397,1376313,26314,3184517,3504791
IMP-000041,AST-00041,BU-0016,81570,121345,4022,14796,93104,66432,1682403,1408144,52770,10808757,6166385
IMP-000042,AST-00042,BU-0008,807,1411,256,13873,20833,12571,13179,213268,418,1422470,293971
IMP-000043,AST-00043,BU-0056,57562,95707,39504,5114,410465,253200,704756,7019609,25303,3138255,10724502
IMP-000044,AST-00044,BU-0008,25507,46015,5022,10934,413683,156885,828663,1908590,14536,1407215,4417203
IMP-000045,AST-00045,BU-0013,72623,132889,4512,5870,320113,174532,909306,2165692,29759,10029827,6763491
IMP-000046,AST-00046,BU-0009,36438,50150,5528,17965,147382,111141,815569,1679063,18641,3465661,3962283
IMP-000047,AST-00047,BU-0067,6125,9859,1469,11108,2851629,1262668,51172,963679,2535,6608450,5367233
IMP-000048,AST-00048,BU-0134,251216,323808,44757,14076,3518392,1878743,4596660,21408358,133481,22120789,39218302
IMP-000049,AST-00049,BU-0083,257977,335659,169893,19108,581952,357476,3033274,34367964,150799,220183442,46566375
IMP-000050,AST-00050,BU-0140,168474,273534,3742,16585,13048603,5168898,3475380,8731560,92346,121654020,36992999
IMP-000051,AST-00051,BU-0001,1038183,1994784,737760,4935,1273151,743776,32150521,14150788,447879,38601302,96930812
IMP-000052,AST-00052,BU-0053,29710,37678,25481,24080,82397,63067,651303,3111073,22481,11858999,4837593
IMP-000053,AST-00053,BU-0137,414041,809380,93863,22128,6638364,2200321,8801854,19517710,187010,34986215,56677232
IMP-000054,AST-00054,BU-0115,306253,504006,69675,16524,1778759,868580,8876644,40880370,213463,35600167,64570172
IMP-000055,AST-00055,BU-0051,137716,229317,60917,24744,1124794,505706,2829763,1566497,108189,5214673,11591285
IMP-000056,AST-00056,BU-0007,41210,52594,3754,23244,303304,187754,827489,2365382,29092,2952414,4949939
IMP-000057,AST-00057,BU-0118,257255,461297,131029,18983,651418,450347,7507077,9141215,183376,40426819,28952214
IMP-000058,AST-00058,BU-0120,24500,41734,2875,12009,10120119,3107416,674731,11108295,7878,64400700,26015052
IMP-000059,AST-00059,BU-0144,456114,829297,72213,17180,8496252,5365443,11984628,49999365,143268,152832865,95821029
IMP-000060,AST-00060,BU-0127,52764,86558,8992,7447,380234,282445,923773,2836628,16767,3572935,6509464
IMP-000061,AST-00061,BU-0018,80808,139252,4302,23133,87177,28296,2574285,4803700,31459,5235355,10839808
IMP-000062,AST-00062,BU-0021,50386,94285,24449,22044,1053965,774614,594538,6164568,37672,8649417,10874974
IMP-000063,AST-00063,BU-0083,78973,112077,13366,5610,37162318,11237440,2054279,4215040,31428,75861253,57372291
IMP-000064,AST-00064,BU-0149,3208,6025,951,22707,5993,2487,85206,141083,1844,352209,380320
IMP-000065,AST-00065,BU-0028,73041,116072,12803,22384,1666565,725583,975249,12621394,56152,12680052,18787322
IMP-000066,AST-00066,BU-0080,221123,351982,15929,8867,20247007,15769344,4385949,29863024,93232,136927129,78728821
IMP-000067,AST-00067,BU-0087,671,992,53,20601,11342,4893,14840,96593,349,401102,151529
IMP-000068,AST-00068,BU-0138,34238,64161,2112,5719,2015259,1004098,685768,2186219,12031,80619901,7433320
IMP-000069,AST-00069,BU-0025,32323,56370,5995,15136,1380833,1033711,889042,4192916,10712,4691009,8855377
IMP-000070,AST-00070,BU-0065,177417,213348,86643,22227,1181781,580511,2168302,3499154,121857,16508388,12636743
IMP-000071,AST-00071,BU-0120,248067,335805,111309,21869,69940,21017,4810516,29449831,137820,38230873,42521933
IMP-000072,AST-00072,BU-0144,90401,128496,23801,21615,15470452,5232564,2316479,5076826,70622,159696194,31204026
IMP-000073,AST-00073,BU-0037,3320,6526,70,16300,443192,226216,94980,647130,2602,5923674,1568212
IMP-000074,AST-00074,BU-0150,185,362,31,14954,2703,1657,4004,56439,109,201754,73522
IMP-000075,AST-00075,BU-0102,3241,5365,2802,14341,24814,9802,32685,102391,1462,112511,301254
IMP-000076,AST-00076,BU-0035,103149,164267,70716,18087,2874466,2287654,2658342,7195763,65193,10620490,19029349
IMP-000077,AST-00077,BU-0137,928938,1665796,208955,3541,1030190,771711,27179639,30975628,705830,84565647,100145227
IMP-000078,AST-00078,BU-0147,3428,4681,163,19231,18793,8945,59717,371856,2292,271885,571818
IMP-000079,AST-00079,BU-0126,70635,98798,17531,21389,273817,196101,1145901,3680183,22667,4264709,7684685
IMP-000080,AST-00080,BU-0050,260,449,24,16964,73557,51235,5472,80305,142,632192,221369
IMP-000081,AST-00081,BU-0152,272,406,101,15770,15624,11993,7514,27105,189,208459,72081
