business_unit_id,organization_id,business_unit_name,business_function,annual_revenue_contribution,employee_count,criticality_score,maximum_tolerable_downtime_hours,data_sensitivity,regulatory_importance
BU-0001,ORG-001,Digital Banking,Revenue,357955072,2301,9,1,Highly Confidential,Critical
BU-0002,ORG-001,Executive Office,Leadership,618474115,637,9,5,Highly Confidential,Critical
BU-0003,ORG-001,Sales & Marketing,Revenue,171476264,5362,7,11,Internal,Low
BU-0004,ORG-001,Supply Chain,Logistics,672874246,6193,4,8,Internal,Low
BU-0005,ORG-001,Customer Operations,Operations,349051932,3963,7,4,Confidential,High
BU-0006,ORG-002,Customer Operations,Operations,8838858,220,9,3,Confidential,High
BU-0007,ORG-002,Security Operations,Security,11837142,207,10,6,Highly Confidential,High
BU-0008,ORG-002,Finance & Accounting,Finance,17449757,59,7,5,Confidential,High
BU-0009,ORG-002,Legal & Compliance,Governance,7936317,34,10,12,Highly Confidential,High
BU-0010,ORG-003,Finance & Accounting,Finance,14802686,1060,6,4,Confidential,High
BU-0011,ORG-003,IT Infrastructure,IT,15473542,159,7,8,Internal,Medium
BU-0012,ORG-003,Executive Office,Leadership,18433466,1186,7,5,Highly Confidential,Critical
BU-0013,ORG-003,Research & Development,Innovation,45784166,1288,3,26,Confidential,Medium
BU-0014,ORG-003,Supply Chain,Logistics,49406129,1177,7,9,Internal,Low
BU-0015,ORG-003,Manufacturing Operations,Production,65387448,438,8,4,Internal,Medium
BU-0016,ORG-003,Security Operations,Security,26831036,288,8,4,Highly Confidential,High
BU-0017,ORG-003,Human Resources,HR,29744711,168,3,14,Sensitive,Medium
BU-0018,ORG-004,Research & Development,Innovation,78648201,90,4,25,Confidential,Medium
BU-0019,ORG-004,Human Resources,HR,33658125,468,7,16,Sensitive,Medium
BU-0020,ORG-004,Legal & Compliance,Governance,34874690,561,6,12,Highly Confidential,High
BU-0021,ORG-004,Sales & Marketing,Revenue,70587027,326,3,12,Internal,Low
BU-0022,ORG-004,Digital Banking,Revenue,32233935,129,10,1,Highly Confidential,Critical
BU-0023,ORG-004,Manufacturing Operations,Production,32780966,235,8,4,Internal,Medium
BU-0024,ORG-004,Customer Operations,Operations,61592301,290,10,4,Confidential,High
BU-0025,ORG-004,Executive Office,Leadership,31307815,72,6,6,Highly Confidential,Critical
BU-0026,ORG-005,Manufacturing Operations,Production,24099439,246,10,8,Internal,Medium
BU-0027,ORG-005,Finance & Accounting,Finance,41835333,24,6,3,Confidential,High
BU-0028,ORG-005,Legal & Compliance,Governance,76317645,96,10,7,Highly Confidential,High
BU-0029,ORG-005,IT Infrastructure,IT,68955758,95,9,6,Internal,Medium
BU-0030,ORG-005,Customer Operations,Operations,16117893,206,6,3,Confidential,High
BU-0031,ORG-005,Sales & Marketing,Revenue,27331601,147,3,13,Internal,Low
BU-0032,ORG-005,Supply Chain,Logistics,65324748,228,7,12,Internal,Low
BU-0033,ORG-006,Digital Banking,Revenue,32833665,360,9,5,Highly Confidential,Critical
BU-0034,ORG-006,Customer Operations,Operations,92094742,274,8,2,Confidential,High
BU-0035,ORG-006,Legal & Compliance,Governance,85457264,130,9,7,Highly Confidential,High
BU-0036,ORG-006,Security Operations,Security,91621246,247,7,4,Highly Confidential,High
BU-0037,ORG-006,Finance & Accounting,Finance,47572937,253,7,3,Confidential,High
BU-0038,ORG-007,Security Operations,Security,412133297,4193,9,6,Highly Confidential,High
BU-0039,ORG-007,IT Infrastructure,IT,883234207,4412,8,5,Internal,Medium
BU-0040,ORG-007,Manufacturing Operations,Production,235804678,2159,7,7,Internal,Medium
BU-0041,ORG-007,Human Resources,HR,869314098,2194,3,11,Sensitive,Medium
BU-0042,ORG-007,Research & Development,Innovation,595656070,2851,5,26,Confidential,Medium
