cloud_event_id,asset_id,cloud_provider,service_type,public_exposure,misconfiguration_type,encryption_enabled,logging_enabled,iam_risk,open_port_count,exposed_storage,compliance_violation,cloud_risk_score
CLOUD-000001,AST-00001,AWS,Serverless,False,None,True,True,High,1,False,False,2.5
CLOUD-000002,AST-00003,Azure,Compute,True,Open Security Group,False,False,Medium,4,False,True,8.8
CLOUD-000003,AST-00004,Azure,Database,False,None,True,True,Low,0,False,False,0.3
CLOUD-000004,AST-00006,AWS,Identity,False,No MFA on Root Account,True,True,Low,1,False,True,2.0
CLOUD-000005,AST-00007,Azure,Identity,False,None,True,True,High,0,True,False,3.4
CLOUD-000006,AST-00009,Azure,DevOps,True,None,True,True,Low,10,False,False,4.8
CLOUD-000007,AST-00010,AWS,Identity,False,None,True,False,High,2,False,True,3.3
CLOUD-000008,AST-00011,GCP,Networking,False,None,True,True,High,1,False,False,2.4
CLOUD-000009,AST-00012,Azure,Identity,False,Logging Disabled,True,True,Low,1,False,True,1.7
CLOUD-000010,AST-00013,AWS,Database,False,None,True,True,High,3,False,False,2.2
CLOUD-000011,AST-00014,AWS,Serverless,True,None,False,True,High,6,False,True,8.1
CLOUD-000012,AST-00015,AWS,Serverless,False,None,False,True,High,0,False,True,3.3
CLOUD-000013,AST-00016,GCP,Database,False,None,True,True,Medium,2,False,False,1.8
CLOUD-000014,AST-00017,AWS,Compute,False,Unrotated Access Keys,True,True,Low,3,True,True,4.1
CLOUD-000015,AST-00021,AWS,Compute,False,None,True,False,Medium,3,False,True,2.5
CLOUD-000016,AST-00023,Azure,Container,False,None,True,True,High,1,False,False,2.2
CLOUD-000017,AST-00024,GCP,Compute,False,None,True,True,High,2,False,False,2.6
CLOUD-000018,AST-00025,GCP,Analytics,False,No Network ACL,False,False,Medium,0,False,True,5.7
CLOUD-000019,AST-00026,AWS,Identity,False,None,True,True,High,0,True,False,3.5
CLOUD-000020,AST-00027,AWS,Container,False,None,True,True,Low,2,False,False,0.1
CLOUD-000021,AST-00029,GCP,ML,False,None,True,True,Medium,0,False,False,1.2
CLOUD-000022,AST-00030,GCP,Networking,False,None,True,True,Low,2,False,False,0.7
CLOUD-000023,AST-00032,AWS,Networking,True,No Network ACL,True,True,Medium,7,False,True,7.5
CLOUD-000024,AST-00033,AWS,Serverless,False,Logging Disabled,True,True,High,0,False,True,3.7
CLOUD-000025,AST-00034,GCP,Networking,False,None,True,True,Medium,0,False,False,1.1
CLOUD-000026,AST-00035,AWS,Identity,True,None,True,True,High,2,False,False,5.7
CLOUD-000027,AST-00036,AWS,Identity,False,None,True,True,Medium,0,False,False,1.4
CLOUD-000028,AST-00037,GCP,ML,False,None,True,False,High,2,False,True,3.6
CLOUD-000029,AST-00039,AWS,DevOps,False,None,True,True,Low,3,False,False,0.2
CLOUD-000030,AST-00041,AWS,Storage,False,None,False,True,Medium,2,False,True,2.6
CLOUD-000031,AST-00042,Azure,DevOps,True,None,True,True,Low,1,False,False,2.9
CLOUD-000032,AST-00043,GCP,DevOps,False,None,True,False,High,3,False,True,3.7
CLOUD-000033,AST-00045,AWS,Serverless,False,None,False,False,Medium,0,False,True,3.6
CLOUD-000034,AST-00046,AWS,Networking,False,Missing WAF,True,True,High,0,False,True,3.5
CLOUD-000035,AST-00048,AWS,Networking,False,None,True,True,High,0,False,False,1.9
CLOUD-000036,AST-00049,GCP,Networking,False,None,True,False,Medium,3,False,True,2.3
CLOUD-000037,AST-00055,Azure,Identity,False,None,True,True,Low,0,False,False,0
CLOUD-000038,AST-00056,GCP,Compute,True,None,True,True,High,5,False,False,5.9
CLOUD-000039,AST-00057,AWS,Container,False,None,True,True,High,1,False,False,2.1
CLOUD-000040,AST-00058,GCP,Container,False,None,True,True,Medium,1,False,False,1.4
CLOUD-000041,AST-00059,Azure,Container,False,No Network ACL,False,False,Medium,0,False,True,5.5
CLOUD-000042,AST-00060,Azure,Storage,False,None,True,False,Low,0,False,True,1.3
CLOUD-000043,AST-00061,Azure,Analytics,False,None,True,False,Low,2,False,True,1.1
CLOUD-000044,AST-00062,AWS,Analytics,False,Unencrypted Volume,True,True,High,1,False,True,4.1
CLOUD-000045,AST-00063,Azure,Analytics,True,None,False,False,High,4,False,True,8.3
CLOUD-000046,AST-00064,GCP,Storage,False,None,True,True,Low,0,False,False,0
CLOUD-000047,AST-00065,GCP,ML,False,No Versioning on Bucket,True,True,Medium,1,False,True,3.5
CLOUD-000048,AST-00066,Azure,ML,True,None,True,True,Medium,1,False,False,4.2
CLOUD-000049,AST-00067,Azure,Networking,False,None,True,True,Medium,0,False,False,1.1
CLOUD-000050,AST-00068,GCP,Analytics,False,None,True,True,High,0,False,False,1.6
CLOUD-000051,AST-00070,AWS,Storage,True,None,True,True,Low,1,False,False,3.2
CLOUD-000052,AST-00072,AWS,Storage,False,None,True,True,High,3,False,False,2.6
CLOUD-000053,AST-00074,Azure,ML,False,None,False,True,High,2,False,True,3.8
CLOUD-000054,AST-00075,GCP,Container,False,None,True,True,Medium,3,False,False,1.3
CLOUD-000055,AST-00077,GCP,Storage,True,Public RDS Instance,True,True,Medium,2,True,True,8.2
CLOUD-000056,AST-00078,AWS,Networking,False,None,True,False,Medium,3,False,True,2.7
CLOUD-000057,AST-00079,AWS,Serverless,False,None,True,True,Medium,2,False,False,1.4
CLOUD-000058,AST-00080,Azure,Compute,False,None,False,True,Medium,2,False,True,3.1
CLOUD-000059,AST-00081,Azure,Networking,True,Missing WAF,True,True,Low,6,False,True,6.3
CLOUD-000060,AST-00084,Azure,Compute,False,None,False,True,Low,1,False,True,1.7
CLOUD-000061,AST-00086,GCP,Database,False,None,True,True,Medium,3,False,False,1.4
CLOUD-000062,AST-00088,Azure,Identity,False,None,True,False,Medium,1,False,True,2.5
CLOUD-000063,AST-00089,GCP,Container,False,None,True,True,High,0,False,False,1.9
CLOUD-000064,AST-00090,AWS,Identity,True,None,False,True,High,5,False,True,7.6
CLOUD-000065,AST-00092,GCP,Storage,False,None,True,True,Medium,0,False,False,1.2
CLOUD-000066,AST-00093,AWS,Container,False,Missing WAF,True,False,Low,3,False,True,4.1
CLOUD-000067,AST-00094,AWS,DevOps,False,No MFA on Root Account,True,True,High,2,True,True,6.1
CLOUD-000068,AST-00095,Azure,Database,False,None,True,True,Medium,0,False,False,1.4
