mapping_id,organization_id,control_id,framework,framework_function,framework_category,requirement_id,compliance_status,evidence_available,evidence_quality,gap_score
CMAP-000001,ORG-001,CTRL-0001,RBI Cyber Security Framework,Incident,Incident Response,RBI -35,Partially Compliant,False,None,0.31
CMAP-000002,ORG-001,CTRL-0001,ISO/IEC 27001,A.5,A.5 Policies,ISO/-4,Partially Compliant,True,Moderate,0.64
CMAP-000003,ORG-001,CTRL-0002,NIST Cybersecurity Framework,Recover,Recover,NIST-49,Non-Compliant,False,None,0.88
CMAP-000004,ORG-001,CTRL-0002,CIS Controls,CIS,CIS 1 Asset Inventory,CIS -31,Non-Compliant,False,None,0.88
CMAP-000005,ORG-001,CTRL-0003,NIST Cybersecurity Framework,Identify,Identify,NIST-35,Non-Compliant,False,None,0.72
CMAP-000006,ORG-001,CTRL-0003,RBI Cyber Security Framework,Incident,Incident Response,RBI -50,Partially Compliant,True,Moderate,0.55
CMAP-000007,ORG-001,CTRL-0003,SEBI Cybersecurity and Cyber Resilience Framework,Third-Party,Third-Party Risk,SEBI-39,Non-Compliant,False,None,0.31
CMAP-000008,ORG-001,CTRL-0004,ISO/IEC 27001,A.13,A.13 Comms Security,ISO/-25,Compliant,True,Strong,0
CMAP-000009,ORG-001,CTRL-0004,CIS Controls,CIS,CIS 5 Account Mgmt,CIS -50,Compliant,True,Moderate,0
CMAP-000010,ORG-001,CTRL-0004,NIST Cybersecurity Framework,Protect,Protect,NIST-38,Compliant,True,Strong,0
CMAP-000011,ORG-001,CTRL-0005,SEBI Cybersecurity and Cyber Resilience Framework,Governance,Governance,SEBI-24,Non-Compliant,False,None,0.77
CMAP-000012,ORG-001,CTRL-0005,CIS Controls,CIS,CIS 8 Audit Logs,CIS -38,Partially Compliant,True,Weak,0.6
CMAP-000013,ORG-001,CTRL-0006,SEBI Cybersecurity and Cyber Resilience Framework,Governance,Governance,SEBI-22,Non-Compliant,False,None,0.27
CMAP-000014,ORG-001,CTRL-0006,NIST Cybersecurity Framework,Protect,Protect,NIST-20,Partially Compliant,False,None,0.82
CMAP-000015,ORG-001,CTRL-0007,SEBI Cybersecurity and Cyber Resilience Framework,Third-Party,Third-Party Risk,SEBI-3,Compliant,True,Weak,0
CMAP-000016,ORG-001,CTRL-0007,ISO/IEC 27001,A.9,A.9 Access Control,ISO/-24,Compliant,True,Strong,0
CMAP-000017,ORG-001,CTRL-0007,CIS Controls,CIS,CIS 1 Asset Inventory,CIS -26,Compliant,True,Strong,0
