telemetry_id,asset_id,timestamp,malware_detected,suspicious_process_count,endpoint_alert_count,ransomware_indicator,malicious_file_count,blocked_connection_count,isolation_triggered,detection_confidence,endpoint_security_score
EDR-000001,AST-00001,2026-08-17 10:58:14,False,6,14,False,0,6,False,0.27,7.4
EDR-000002,AST-00002,2026-08-20 01:58:14,False,1,10,False,0,36,False,0.49,8.8
EDR-000003,AST-00003,2026-08-28 23:58:14,False,2,8,False,0,2,False,0.18,9.2
EDR-000004,AST-00004,2026-08-19 20:58:14,False,2,18,False,0,34,False,0.57,8.0
EDR-000005,AST-00005,2026-08-08 15:58:14,False,9,6,False,0,29,False,0.14,7.3
EDR-000006,AST-00006,2026-09-02 08:58:14,False,1,2,False,0,48,False,0.48,9.7
EDR-000007,AST-00007,2026-08-14 10:58:14,False,0,3,False,0,22,False,0.3,9.9
EDR-000008,AST-00008,2026-09-04 06:58:14,False,6,6,False,0,47,False,0.7,8.3
EDR-000009,AST-00009,2026-09-02 17:58:14,False,3,8,False,0,6,False,0.32,8.8
EDR-000010,AST-00010,2026-09-03 13:58:14,False,5,10,False,0,45,False,0.63,8.2
EDR-000011,AST-00011,2026-08-18 01:58:14,False,10,7,False,0,36,False,0.68,7.1
EDR-000012,AST-00012,2026-09-04 01:58:14,False,6,20,False,0,7,False,0.26,6.9
EDR-000013,AST-00013,2026-08-19 16:58:14,False,3,7,False,0,40,False,0.68,9.0
EDR-000014,AST-00014,2026-08-17 13:58:14,False,8,14,False,0,0,False,0.51,7.3
EDR-000015,AST-00015,2026-08-13 16:58:14,False,8,12,False,0,29,False,0.41,7.1
EDR-000016,AST-00016,2026-08-10 13:58:14,False,8,11,False,0,11,False,0.56,7.3
EDR-000017,AST-00017,2026-08-20 08:58:14,False,8,6,False,0,5,False,0.64,7.9
EDR-000018,AST-00018,2026-08-08 00:58:14,False,0,0,False,0,11,False,0.77,10
EDR-000019,AST-00019,2026-08-31 13:58:14,False,7,2,False,0,28,False,0.6,8.2
EDR-000020,AST-00020,2026-08-09 04:58:14,False,6,5,False,0,41,False,0.77,8.5
EDR-000021,AST-00021,2026-08-24 03:58:14,False,5,4,False,0,46,False,0.41,8.8
EDR-000022,AST-00022,2026-08-25 06:58:14,False,8,7,False,0,44,False,0.11,7.4
EDR-000023,AST-00023,2026-08-17 23:58:14,False,4,5,False,0,45,False,0.73,8.9
EDR-000024,AST-00024,2026-08-21 12:58:14,False,7,4,False,0,45,False,0.13,8.1
EDR-000025,AST-00025,2026-08-08 11:58:14,False,3,5,True,0,6,False,0.16,6.3
EDR-000026,AST-00026,2026-08-29 06:58:14,False,0,8,False,0,47,False,0.14,9.5
EDR-000027,AST-00027,2026-08-14 00:58:14,True,0,0,False,1,48,False,0.67,7.8
EDR-000028,AST-00028,2026-08-15 11:58:14,False,1,18,False,0,35,False,0.78,8.4
EDR-000029,AST-00029,2026-08-17 13:58:14,True,5,20,False,3,36,True,0.67,4.9
EDR-000030,AST-00030,2026-08-30 20:58:14,False,0,7,False,0,34,False,0.57,9.7
EDR-000031,AST-00031,2026-08-11 09:58:14,False,6,19,False,0,49,False,0.78,6.9
EDR-000032,AST-00032,2026-08-19 05:58:14,False,3,16,False,0,17,False,0.21,7.5
EDR-000033,AST-00033,2026-09-03 12:58:14,False,1,6,False,0,42,False,0.66,9.4
EDR-000034,AST-00034,2026-08-16 06:58:14,False,8,18,False,0,19,False,0.45,7.0
EDR-000035,AST-00035,2026-08-27 22:58:14,False,2,13,False,0,31,False,0.2,7.9
EDR-000036,AST-00036,2026-08-19 01:58:14,False,6,14,False,0,21,False,0.76,6.9
EDR-000037,AST-00037,2026-08-20 06:58:14,False,8,10,False,0,39,False,0.43,7.0
EDR-000038,AST-00038,2026-08-12 05:58:14,False,3,12,False,0,6,False,0.23,7.7
EDR-000039,AST-00039,2026-08-07 15:58:14,False,5,9,False,0,35,False,0.31,8.2
EDR-000040,AST-00040,2026-08-16 02:58:14,False,4,18,False,0,7,False,0.72,7.9
EDR-000041,AST-00041,2026-08-12 14:58:14,False,2,5,False,0,7,False,0.79,8.7
EDR-000042,AST-00042,2026-08-09 19:58:14,False,1,17,False,0,50,False,0.8,7.7
EDR-000043,AST-00043,2026-09-02 18:58:14,False,7,6,False,0,4,False,0.5,8.1
EDR-000044,AST-00044,2026-08-13 16:58:14,False,5,4,False,0,46,False,0.38,8.5
EDR-000045,AST-00045,2026-08-15 07:58:14,False,1,5,False,0,47,False,0.24,9.1
EDR-000046,AST-00046,2026-08-09 01:58:14,False,8,14,False,0,15,False,0.49,7.0
EDR-000047,AST-00047,2026-08-30 06:58:14,False,6,2,False,0,14,False,0.76,8.9
EDR-000048,AST-00048,2026-08-12 04:58:14,False,0,15,False,0,36,False,0.21,8.9
EDR-000049,AST-00049,2026-09-04 13:58:14,False,3,1,False,0,41,False,0.19,9.1
EDR-000050,AST-00050,2026-08-29 10:58:14,False,5,7,False,0,14,False,0.15,8.3
EDR-000051,AST-00051,2026-08-07 06:58:14,False,3,7,False,0,33,False,0.28,8.4
EDR-000052,AST-00052,2026-08-26 05:58:14,False,2,6,False,0,27,False,0.43,8.8
EDR-000053,AST-00053,2026-08-19 01:58:14,False,4,4,False,0,10,False,0.44,9.2
EDR-000054,AST-00054,2026-08-10 20:58:14,False,10,13,False,0,8,False,0.54,6.3
