iam_event_id,organization_id,asset_id,user_count,privileged_user_count,orphan_accounts,inactive_accounts,mfa_enabled_percentage,excessive_privilege_count,failed_login_count,suspicious_login_count,password_policy_score,privileged_access_risk,identity_risk_score
IAM-000001,ORG-002,AST-00001,27,2,0,2,86,2,62,4,0.82,High,4.0
IAM-000002,ORG-025,AST-00002,86,5,2,7,96,3,56,1,0.57,High,2.5
IAM-000003,ORG-020,AST-00003,316,4,11,21,68,3,71,7,0.87,High,6.8
IAM-000004,ORG-002,AST-00004,313,3,6,18,32,3,84,11,0.82,High,9.6
IAM-000005,ORG-004,AST-00005,464,15,23,31,71,1,151,17,0.47,Low,8.5
IAM-000006,ORG-012,AST-00006,348,2,10,8,50,2,99,8,0.82,High,9.3
IAM-000007,ORG-020,AST-00007,311,6,0,10,37,4,167,17,0.91,High,7.7
IAM-000008,ORG-004,AST-00008,410,3,1,2,65,1,190,11,0.72,Low,4.6
IAM-000009,ORG-011,AST-00009,488,33,17,26,77,33,55,7,0.45,High,8.8
IAM-000010,ORG-020,AST-00010,213,6,1,0,86,2,171,24,0.83,Low,4.1
IAM-000011,ORG-005,AST-00011,193,2,3,12,94,1,48,2,0.33,Low,2.9
IAM-000012,ORG-010,AST-00012,255,1,0,9,67,0,94,7,0.56,Low,2.4
IAM-000013,ORG-017,AST-00013,304,30,5,24,70,6,84,4,0.46,Medium,3.7
IAM-000014,ORG-014,AST-00014,500,7,11,3,31,1,12,0,0.74,Low,6.9
IAM-000015,ORG-008,AST-00015,449,36,11,12,46,31,71,6,0.33,High,9.5
IAM-000016,ORG-006,AST-00016,99,7,4,8,62,0,116,17,0.91,Low,4.6
IAM-000017,ORG-015,AST-00017,17,2,0,0,67,2,176,22,0.85,High,6.9
IAM-000018,ORG-022,AST-00018,107,7,3,3,61,3,86,16,0.68,Medium,5.9
IAM-000019,ORG-009,AST-00019,462,16,15,20,93,15,83,10,0.89,High,7.5
IAM-000020,ORG-004,AST-00020,74,1,2,4,65,0,93,4,0.37,Low,3.6
IAM-000021,ORG-016,AST-00021,461,18,6,38,57,10,153,21,0.99,High,7.6
IAM-000022,ORG-021,AST-00022,344,25,6,25,50,17,168,25,0.55,High,8.9
IAM-000023,ORG-009,AST-00023,444,20,8,42,47,15,93,7,0.6,High,7.9
IAM-000024,ORG-005,AST-00024,59,5,1,1,47,1,187,32,0.39,Low,7.6
