scenario_id,organization_id,budget,selected_controls,selected_remediations,total_investment,initial_EAL,projected_EAL,total_risk_reduction,risk_reduction_percentage,expected_loss_avoided,ROSI,ROI,optimization_score
OPT-00001,ORG-001,1000000,1,INV-00013,877531,9956470043,9940168060,33.4,6.7,16301983,1757.7,18.58,17.4
OPT-00002,ORG-001,2500000,1,INV-00013;INV-00010;INV-00006,2383751,9956470043,9916167137,98.9,19.8,40302906,1590.7,16.91,43.7
OPT-00003,ORG-001,5000000,1,INV-00013;INV-00004;INV-00010,4499709,9956470043,9879034752,80.2,16.0,77435291,1620.9,17.21,36.4
OPT-00004,ORG-001,10000000,1,INV-00013;INV-00001;INV-00004;INV-00010,9571115,9956470043,9791450232,114.0,22.8,165019811,1624.1,17.24,50.3
OPT-00005,ORG-001,20000000,1,INV-00013;INV-00001;INV-00004;INV-00010;INV-00009...,19833807,9956470043,9655805987,246.1,49.2,300664056,1415.9,15.16,103.6
OPT-00006,ORG-001,50000000,1,INV-00013;INV-00001;INV-00004;INV-00010;INV-00009...,41097735,9956470043,9438727497,397.1,79.4,517742546,1159.8,12.6,164.9
OPT-00007,ORG-002,1000000,1,INV-00017;INV-00029;INV-00028,992600,355299963,339834771,74.6,16.0,15465192,1458.0,15.58,35.6
OPT-00008,ORG-002,2500000,1,INV-00027;INV-00029;INV-00028;INV-00025,2313450,355299963,313177724,101.7,21.8,42122239,1720.8,18.21,49.4
OPT-00009,ORG-002,5000000,1,INV-00027;INV-00021;INV-00016,4917014,355299963,261758697,107.9,23.1,93541266,1802.4,19.02,57.7
OPT-00010,ORG-002,10000000,1,INV-00027;INV-00021;INV-00016;INV-00017;INV-00026...,9577668,355299963,201245007,254.5,54.5,154054956,1508.5,16.08,123.1
OPT-00011,ORG-002,20000000,1,INV-00027;INV-00021;INV-00016;INV-00017;INV-00026...,14359378,355299963,161745870,328.2,70.3,193554093,1247.9,13.48,157.1
OPT-00012,ORG-002,50000000,1,INV-00027;INV-00021;INV-00016;INV-00017;INV-00026...,14359378,355299963,161745870,328.2,70.3,193554093,1247.9,13.48,157.1
OPT-00013,ORG-003,1000000,1,INV-00032;INV-00036,995688,935368279,918220845,68.9,15.9,17147434,1622.2,17.22,32.3
