risk_id,organization_id,business_unit_id,asset_id,vulnerability_id,threat_id,likelihood_score,impact_score,inherent_risk,control_effectiveness,residual_risk,incident_probability,single_loss_expectancy,annual_rate_of_occurrence,expected_annual_loss,value_at_risk,financial_exposure,risk_reduction_potential,current_security_spend,recommended_security_spend,risk_score
RISK-000001,ORG-016,BU-0099,AST-03710,VULN-011530,THREAT-04704,0.8,4.9,0.39,0.58,0.16,0.0533,834,0.075,63,182,118,0.07,39196,39470,0.18
RISK-000002,ORG-016,BU-0100,AST-07470,VULN-002049,THREAT-00641,7.9,2.6,2.05,0.55,0.92,0.5267,9419,1.419,13366,28659,21964,0.37,94293,97782,0.92
RISK-000003,ORG-003,BU-0013,AST-08262,VULN-014097,THREAT-01704,2.9,9.5,2.75,0.41,1.62,0.1933,731966,0.428,313281,1056756,630308,0.28,488371,502045,1.73
RISK-000004,ORG-014,BU-0087,AST-07461,VULN-018142,THREAT-01320,3.8,4.2,1.6,0.65,0.56,0.2533,3670,0.704,2584,4954,4070,0.2,89366,91153,0.52
RISK-000005,ORG-004,BU-0022,AST-09694,VULN-014866,THREAT-00158,4.0,10,4.0,0.58,1.68,0.2667,556637,0.437,243250,545238,406821,0.64,125225,133239,1.63
RISK-000006,ORG-006,BU-0033,AST-01366,VULN-018704,THREAT-01323,2.9,9.6,2.78,0.51,1.36,0.1933,2415915,0.122,294742,645288,488328,0.34,464062,479840,1.27
RISK-000007,ORG-002,BU-0007,AST-01491,VULN-011255,THREAT-03200,0.6,3.5,0.21,0.45,0.12,0.04,40168,0.022,884,1469,1325,0.02,387786,388562,0.13
RISK-000008,ORG-009,BU-0055,AST-04004,VULN-008436,THREAT-01036,4.2,9.2,3.86,0.78,0.85,0.28,4143733,0.692,2867463,8024572,5274835,0.34,227339,235069,0.9
RISK-000009,ORG-021,BU-0126,AST-00710,VULN-016792,THREAT-00924,2.0,4.9,0.98,0.63,0.36,0.1333,217769,0.232,50522,112042,84135,0.1,389517,393412,0.37
RISK-000010,ORG-018,BU-0112,AST-04327,VULN-012667,THREAT-03030,3.7,5.5,2.04,0.56,0.9,0.2467,2671668,0.382,1020577,3002626,1921365,0.33,1264463,1306190,0.85
RISK-000011,ORG-020,BU-0124,AST-08785,VULN-012859,THREAT-00038,0.6,8.8,0.53,0.4,0.32,0.04,236002,0.093,21948,43853,35104,0.05,56507,56790,0.31
RISK-000012,ORG-021,BU-0128,AST-03243,VULN-020171,THREAT-02349,3.4,10,3.4,0.65,1.19,0.2267,1214557,0.263,319428,583545,494492,0.61,357729,379550,1.1
RISK-000013,ORG-018,BU-0114,AST-06079,VULN-001341,THREAT-04839,6.8,5.4,3.67,0.38,2.28,0.4533,1122787,0.293,328977,570232,500047,0.49,1129769,1185128,2.48
RISK-000014,ORG-003,BU-0017,AST-07420,VULN-026054,THREAT-01802,5.9,8.2,4.84,0.68,1.55,0.3933,1198784,0.392,469923,1167726,820241,0.69,315045,336783,1.48
RISK-000015,ORG-010,BU-0061,AST-08800,VULN-013715,THREAT-00333,4.7,10,4.7,0.75,1.18,0.3133,4691662,0.25,1172916,2710687,1986122,0.69,329854,352614,1.14
RISK-000016,ORG-024,BU-0144,AST-03409,VULN-021582,THREAT-00404,3.8,5.1,1.94,0.22,1.51,0.2533,4667911,0.683,3188183,6183203,5043144,0.19,614064,625731,1.45
RISK-000017,ORG-024,BU-0145,AST-09681,VULN-000776,THREAT-01876,3.7,9.9,3.66,0.69,1.13,0.2467,12601896,0.488,6149725,15662583,10848500,0.47,885165,926768,1.14
RISK-000018,ORG-017,BU-0105,AST-09374,VULN-003358,THREAT-02693,3.4,9.3,3.16,0.23,2.43,0.2267,53241597,0.481,25609208,43884630,38774597,0.19,1237696,1261212,2.2
RISK-000019,ORG-016,BU-0099,AST-06566,VULN-000021,THREAT-00479,2.7,8.9,2.4,0.59,0.98,0.18,152875,0.358,54729,182341,109431,0.33,40637,41978,0.91
RISK-000020,ORG-004,BU-0025,AST-07766,VULN-008645,THREAT-01983,3.3,9.1,3.0,0.54,1.38,0.22,3199203,0.37,1183705,2051306,1799097,0.51,352461,370437,1.27
RISK-000021,ORG-016,BU-0102,AST-07553,VULN-025961,THREAT-01822,3.5,10,3.5,0.54,1.61,0.2333,70582,0.413,29150,62206,47812,0.6,51956,55073,1.69
RISK-000022,ORG-001,BU-0002,AST-07515,VULN-015780,THREAT-00464,2.1,10,2.1,0.71,0.61,0.14,13606071,0.361,4911792,13467967,8952182,0.33,1451929,1499843,0.62
RISK-000023,ORG-019,BU-0116,AST-02639,VULN-023720,THREAT-04813,4.2,3.3,1.39,0.75,0.35,0.28,1044265,0.152,158728,551910,324301,0.14,326573,331145,0.33
RISK-000024,ORG-007,BU-0042,AST-03943,VULN-017914,THREAT-01872,0.3,8.5,0.26,0.28,0.19,0.02,12197998,0.034,414732,770607,645914,0.02,235655,236126,0.18
RISK-000025,ORG-010,BU-0057,AST-05367,VULN-000300,THREAT-02118,6.0,5.9,3.54,0.59,1.45,0.4,980077,0.448,439074,732706,658886,0.26,371533,381193,1.47
RISK-000026,ORG-013,BU-0077,AST-00894,VULN-026730,THREAT-02997,3.8,10,3.8,0.63,1.41,0.2533,56551460,0.69,39020507,68280099,59504537,0.39,779700,810108,1.54
RISK-000027,ORG-007,BU-0041,AST-05098,VULN-029450,THREAT-03802,0.2,3.0,0.06,0.76,0.01,0.0133,4567263,0.013,59374,179348,113178,0.0,1456627,1456627,0.01
RISK-000028,ORG-015,BU-0092,AST-02172,VULN-010341,THREAT-00427,3.0,7.9,2.37,0.21,1.87,0.2,18899112,0.373,7049369,15769100,11780099,0.31,482066,497010,1.87
RISK-000029,ORG-016,BU-0097,AST-07695,VULN-018599,THREAT-01106,1.2,2.9,0.35,0.84,0.06,0.08,7547,0.148,1117,3888,2283,0.02,42270,42355,0.07
RISK-000030,ORG-002,BU-0008,AST-07581,VULN-014015,THREAT-01742,3.9,2.9,1.13,0.69,0.35,0.26,35677,0.677,24153,53862,40312,0.17,446699,454293,0.38
RISK-000031,ORG-001,BU-0004,AST-09307,VULN-007539,THREAT-03964,4.5,4.7,2.12,0.65,0.74,0.3,752361,0.876,659068,1828958,1207755,0.21,451057,460529,0.75
RISK-000032,ORG-024,BU-0142,AST-01843,VULN-007791,THREAT-01037,6.3,5.0,3.15,0.51,1.54,0.42,6177455,0.486,3002243,6283277,4887226,0.53,1066400,1122919,1.68
RISK-000033,ORG-004,BU-0024,AST-05488,VULN-017147,THREAT-01474,1.3,3.6,0.47,0.77,0.11,0.0867,746532,0.161,120192,407347,242396,0.04,322933,324225,0.1
RISK-000034,ORG-011,BU-0063,AST-02086,VULN-016842,THREAT-03673,0.8,3.1,0.25,0.37,0.16,0.0533,306299,0.116,35531,86357,61438,0.03,197306,197898,0.17
RISK-000035,ORG-013,BU-0077,AST-05589,VULN-011767,THREAT-03323,1.8,9.9,1.78,0.59,0.73,0.12,41697035,0.324,13509839,31329396,22908658,0.2,515699,526013,0.73
RISK-000036,ORG-005,BU-0028,AST-06086,VULN-014491,THREAT-04905,2.6,3.4,0.88,0.2,0.7,0.1733,0,0.114,0,0,0,0.06,437572,440197,0.71
RISK-000037,ORG-007,BU-0039,AST-01545,VULN-007932,THREAT-01109,0.8,3.4,0.27,0.48,0.14,0.0533,4975225,0.076,378117,844822,631564,0.03,1470429,1474840,0.14
RISK-000038,ORG-012,BU-0073,AST-05270,VULN-001090,THREAT-00415,5.2,10,5.2,0.85,0.78,0.3467,767096,0.778,596801,1765042,1126314,0.25,57064,58491,0.79
RISK-000039,ORG-002,BU-0008,AST-04242,VULN-018382,THREAT-00642,5.8,9.6,5.57,0.55,2.51,0.3867,1288159,0.887,1142597,2146340,1786499,1.03,289351,319154,2.37
RISK-000040,ORG-009,BU-0053,AST-00582,VULN-012261,THREAT-04648,5.2,8.8,4.58,0.79,0.96,0.3467,1072484,0.2,214497,630352,403603,0.24,50341,51549,0.92
RISK-000041,ORG-010,BU-0059,AST-02529,VULN-023486,THREAT-01796,4.5,3.0,1.35,0.74,0.35,0.3,163592,0.509,83268,285859,169026,0.16,238657,242476,0.32
RISK-000042,ORG-016,BU-0097,AST-08599,VULN-022532,THREAT-02636,2.1,9.8,2.06,0.6,0.82,0.14,93065,0.295,27454,47550,41719,0.32,68261,70445,0.77
RISK-000043,ORG-012,BU-0069,AST-05162,VULN-011582,THREAT-02578,2.4,9.7,2.33,0.82,0.42,0.16,1654041,0.312,516061,1257610,893344,0.14,341520,346301,0.44
RISK-000044,ORG-010,BU-0057,AST-08612,VULN-019693,THREAT-00776,4.0,5.3,2.12,0.7,0.64,0.2667,98384,0.138,13577,26721,21593,0.28,53131,54619,0.61
RISK-000045,ORG-017,BU-0103,AST-08328,VULN-011204,THREAT-04226,6.3,8.5,5.35,0.44,3.0,0.42,16980683,0.989,16793895,31491218,26241260,0.63,448215,476453,3.17
RISK-000046,ORG-024,BU-0146,AST-09775,VULN-018278,THREAT-02424,2.8,8.0,2.24,0.46,1.21,0.1867,19645898,0.321,6306333,19383988,12121529,0.17,1457707,1482488,1.26
RISK-000047,ORG-020,BU-0122,AST-07281,VULN-018845,THREAT-00432,1.6,8.2,1.31,0.8,0.26,0.1067,200213,0.072,14415,33821,24561,0.15,99167,100655,0.26
RISK-000048,ORG-016,BU-0100,AST-04398,VULN-024966,THREAT-00644,3.3,10,3.3,0.48,1.72,0.22,100997,0.476,48075,129862,87034,0.35,29317,30343,1.59
RISK-000049,ORG-018,BU-0115,AST-01145,VULN-006422,THREAT-01541,1.0,2.4,0.24,0.61,0.09,0.0667,228542,0.186,42509,77957,65896,0.04,646065,648649,0.1
RISK-000050,ORG-016,BU-0102,AST-07157,VULN-007820,THREAT-04507,4.9,9.7,4.75,0.47,2.52,0.3267,89357,0.6,53614,113829,87763,0.55,56178,59268,2.77
RISK-000051,ORG-024,BU-0143,AST-05806,VULN-025842,THREAT-00684,2.9,10,2.9,0.61,1.13,0.1933,17855345,0.248,4428126,9177332,7181326,0.42,161332,168108,1.23
RISK-000052,ORG-009,BU-0053,AST-04448,VULN-027546,THREAT-00206,1.3,2.8,0.36,0.38,0.22,0.0867,110268,0.248,27346,49973,42338,0.06,262304,263878,0.23
