incident_id,organization_id,asset_id,business_unit_id,threat_id,incident_type,attack_vector,detection_time,response_time,resolution_time,downtime_hours,data_records_affected,incident_severity,direct_financial_loss,recovery_cost,legal_cost,regulatory_penalty,customer_compensation,reputation_loss,total_financial_loss,control_failure,incident_resolved
INC-000001,ORG-001,AST-04455,BU-0003,THREAT-01107,Cloud Breach,USB,665,3,22,21,39739,Medium,1404309,1392630,639452,99925,4091840,1335241,8963396,Firewall Misconfiguration,True
INC-000002,ORG-023,AST-07019,BU-0139,THREAT-03169,Data Breach,Brute Force,92,2,7,11,480774,Low,320337,330838,193282,196328,232311216,148947,233500948,Weak Password,True
INC-000003,ORG-017,AST-08073,BU-0106,THREAT-04542,Insider Threat,Web Application,390,10,84,90,20441,Low,1412142,1161635,579018,13637,3724410,905204,7796046,Cloud Misconfiguration,True
INC-000004,ORG-004,AST-08441,BU-0020,THREAT-04718,Ransomware,Cloud Misconfiguration,411,7,10,580,345141,Low,41012,67885,10441,32130,18816089,25519,18993075,Weak Password,False
INC-000005,ORG-024,AST-07195,BU-0143,THREAT-01757,Malware,Web Application,269,31,43,63,84537,Medium,5777837,6225901,1169473,4117816,41970659,6031819,65293504,EDR Evasion,True
INC-000006,ORG-009,AST-02168,BU-0052,THREAT-01335,Cloud Breach,Brute Force,285,25,50,42,10840,Low,111811,81193,48368,35817,4934055,79948,5291193,MFA Bypass,True
INC-000007,ORG-016,AST-05262,BU-0098,THREAT-03827,Cloud Breach,Insider,698,27,102,94,57397,Medium,7584,5707,1697,673,16307914,4874,16328450,MFA Bypass,True
INC-000008,ORG-013,AST-09413,BU-0082,THREAT-00436,Malware,Social Engineering,539,45,57,16,6452,Low,3422567,1158789,851555,1452292,1236240,2167914,10289357,None,False
INC-000009,ORG-013,AST-09269,BU-0076,THREAT-00548,Ransomware,Insider,9,27,194,414,32695,Medium,3871037,4496505,2429859,3958337,3809096,2744339,21309172,Cloud Misconfiguration,True
INC-000010,ORG-005,AST-08794,BU-0029,THREAT-04722,Account Takeover,USB,643,10,53,63,10792,Low,211304,168994,48876,103938,4745789,160397,5439297,Cloud Misconfiguration,True
INC-000011,ORG-008,AST-00320,BU-0047,THREAT-00097,Malware,Social Engineering,515,17,86,138,6063,High,154911,169005,48281,4675,1507232,137989,2022093,Phishing Click,True
INC-000012,ORG-024,AST-07927,BU-0144,THREAT-01588,Supply Chain Attack,Brute Force,592,33,46,25,22074,Medium,2320760,1608252,957286,492806,5730409,714088,11823602,Phishing Click,True
INC-000013,ORG-001,AST-06754,BU-0002,THREAT-01930,Data Breach,Insider,24,23,25,35,4130775,Low,745505,522193,251374,870123,1825686492,661031,1828736719,None,False
INC-000014,ORG-011,AST-05688,BU-0062,THREAT-01422,Account Takeover,Cloud Misconfiguration,654,34,102,88,94595,Medium,1182462,480596,336663,484667,6530684,965419,9980490,Weak Password,False
INC-000015,ORG-010,AST-01607,BU-0061,THREAT-03657,Account Takeover,Supply Chain,427,24,48,28,89646,Low,253297,117410,49430,79384,38161552,82721,38743795,Cloud Misconfiguration,False
INC-000016,ORG-017,AST-02354,BU-0109,THREAT-00673,Phishing,Email,651,19,20,31,35020,High,5375506,9249915,1757233,1440124,2099507,6289064,26211349,Cloud Misconfiguration,True
INC-000017,ORG-024,AST-07347,BU-0144,THREAT-04900,Cloud Breach,VPN,470,32,60,129,65922,High,4242553,3069738,631673,771319,8871457,3752540,21339281,None,True
INC-000018,ORG-008,AST-05732,BU-0045,THREAT-02213,Insider Threat,Supply Chain,143,29,128,102,91056,High,31835,18804,17701,6762,35257187,43439,35375729,Phishing Click,True
INC-000019,ORG-023,AST-01750,BU-0138,THREAT-02062,Data Breach,USB,198,9,32,25,2800951,Medium,3773719,3216419,1599680,3895657,422630847,3190277,438306599,Phishing Click,True
INC-000020,ORG-010,AST-08148,BU-0058,THREAT-03991,Supply Chain Attack,Remote Desktop,524,17,22,45,88591,Low,10556,9693,6039,230,40295280,14764,40336562,None,True
INC-000021,ORG-008,AST-04980,BU-0047,THREAT-03967,Supply Chain Attack,Supply Chain,294,39,97,58,76098,Low,14795,14709,4983,5212,33626274,6754,33672729,Cloud Misconfiguration,True
INC-000022,ORG-011,AST-08242,BU-0066,THREAT-04297,Cloud Breach,Supply Chain,249,21,102,98,34365,Medium,231987,64717,103565,56768,11558676,233878,12249591,Cloud Misconfiguration,True
INC-000023,ORG-021,AST-05649,BU-0126,THREAT-02053,Cloud Breach,Insider,29,45,123,87,30169,Low,144354,116602,33526,56623,6968688,117068,7436862,Cloud Misconfiguration,True
INC-000024,ORG-003,AST-07245,BU-0016,THREAT-02606,Malware,Cloud Misconfiguration,358,15,29,73,72816,Low,222021,115302,37865,43298,27235581,140545,27794611,MFA Bypass,True
INC-000025,ORG-022,AST-07551,BU-0134,THREAT-02758,DDoS,Remote Desktop,673,16,16,59,0,High,199784,86005,152559,0,0,228250,666599,EDR Evasion,True
INC-000026,ORG-019,AST-00766,BU-0117,THREAT-04579,Cloud Breach,Cloud Misconfiguration,88,12,41,35,51280,Medium,246630,197410,45979,66172,17353708,199949,18109848,None,False
INC-000027,ORG-010,AST-09491,BU-0060,THREAT-04280,Account Takeover,Brute Force,702,37,81,131,35804,Medium,595029,469459,282381,285113,1993314,423360,4048656,Weak Password,True
INC-000028,ORG-019,AST-08756,BU-0119,THREAT-02790,Insider Threat,Cloud Misconfiguration,124,19,31,51,98642,Low,314057,246548,38305,85063,42204064,217175,43105212,Weak Password,False
INC-000029,ORG-006,AST-03344,BU-0033,THREAT-00417,Ransomware,VPN,227,38,496,512,448074,Low,329357,387689,56878,186961,31031279,205786,32197950,Unpatched Vulnerability,True
INC-000030,ORG-010,AST-05318,BU-0061,THREAT-03793,Cloud Breach,Remote Desktop,487,43,49,22,17929,Low,159884,165144,35737,72630,5191935,161924,5787254,Firewall Misconfiguration,True
INC-000031,ORG-003,AST-09048,BU-0012,THREAT-01229,Ransomware,Brute Force,481,32,488,567,448721,Medium,50569,43136,9442,24559,121731837,14651,121874194,None,True
INC-000032,ORG-019,AST-04215,BU-0120,THREAT-02004,DDoS,Email,618,3,5,18,0,Medium,1285908,242542,752890,0,0,444792,2726132,MFA Bypass,True
INC-000033,ORG-016,AST-07593,BU-0101,THREAT-03092,Supply Chain Attack,Email,174,13,147,151,74989,Medium,19015,9938,3354,39,36946444,13797,36992586,Firewall Misconfiguration,True
INC-000034,ORG-012,AST-04283,BU-0071,THREAT-03442,Phishing,Web Application,155,13,18,92,74524,Medium,262263,213643,68951,92373,5987349,99725,6724304,Weak Password,True
INC-000035,ORG-025,AST-00641,BU-0147,THREAT-04587,Malware,Insider,641,42,53,116,43974,Low,459,199,159,49,12702953,173,12703992,Unpatched Vulnerability,False
INC-000036,ORG-003,AST-01369,BU-0011,THREAT-00359,Data Breach,USB,69,38,71,41,88836,Medium,200865,148060,118813,119517,42924847,109400,43621502,Phishing Click,True
INC-000037,ORG-003,AST-01684,BU-0016,THREAT-02182,Account Takeover,Web Application,322,12,36,41,1823,Low,99668,118596,37487,40265,159442,78762,534219,Weak Password,True
INC-000038,ORG-002,AST-02651,BU-0007,THREAT-03674,DDoS,Cloud Misconfiguration,531,7,40,45,0,Low,49186,22514,21325,0,0,52113,145139,Unpatched Vulnerability,True
INC-000039,ORG-022,AST-08366,BU-0132,THREAT-03433,Malware,Brute Force,12,9,65,80,36822,Medium,114997,45950,66365,34676,14468471,97697,14828156,Phishing Click,True
INC-000040,ORG-011,AST-07040,BU-0065,THREAT-02169,Insider Threat,Supply Chain,434,31,32,3,64663,Medium,463974,173467,252520,52777,3283549,151605,4377891,Unpatched Vulnerability,True
