vulnerability_id,asset_id,cve_id,vulnerability_type,cvss_score,severity,exploitability_score,attack_vector,attack_complexity,privileges_required,user_interaction,known_exploited,exploit_available,exploit_age_days,vulnerability_age_days,affected_service,patch_available,patch_age_days,remediation_status,remediation_deadline,vulnerability_risk_score
VULN-000001,AST-06694,CVE-2020-24155,SSRF,4.8,Medium,1.3,Adjacent,High,None,Required,False,False,0,621,Database Server,True,387,Mitigated,,2.4
VULN-000002,AST-04633,CVE-2020-67979,Path Traversal,9.1,Critical,3.9,Network,Low,Low,None,False,False,0,72,API Gateway,True,12,In Progress,,10
VULN-000003,AST-00807,CVE-2026-15746,Improper Access Control,1.8,Low,0.4,Local,Low,None,Required,False,False,0,674,API Gateway,True,482,Mitigated,,0.8
VULN-000004,AST-07465,CVE-2024-81773,XXE,3.3,Low,0.7,Network,High,None,None,False,True,1112,1139,Email Server,True,730,Mitigated,,0.7
VULN-000005,AST-09941,CVE-2025-7289,Race Condition,5.4,Medium,1.3,Physical,Low,None,Required,False,True,64,602,API Gateway,True,6,Mitigated,,2.5
VULN-000006,AST-07916,CVE-2023-9503,XSS,3.0,Low,1.3,Network,High,Low,None,False,True,307,1006,Domain Controller,True,309,Mitigated,,2.2
VULN-000007,AST-02169,CVE-2020-58884,Improper Access Control,5.0,Medium,1.7,Network,High,None,Required,False,True,1030,1093,SaaS Application,False,0,In Progress,,7.1
VULN-000008,AST-06758,CVE-2026-33778,Command Injection,8.8,High,2.7,Network,High,High,Required,False,False,0,298,Cloud VM,False,0,Open,2026-12-01,10.0
VULN-000009,AST-03600,CVE-2026-76601,Race Condition,8.9,High,2.7,Network,Low,High,Required,False,False,0,342,File Server,True,8,Open,2026-11-18,7.8
VULN-000010,AST-06600,CVE-2026-17501,Privilege Escalation,0.7,Low,0.3,Network,Low,None,Required,False,False,0,592,IoT Device,True,210,Open,2026-09-20,2.2
VULN-000011,AST-04474,CVE-2024-33542,Deserialization,6.8,Medium,2.0,Local,High,High,Required,False,True,245,353,API Gateway,True,230,False Positive,,8.3
VULN-000012,AST-08132,CVE-2026-60979,SQL Injection,8.3,High,3.1,Network,High,High,Required,False,False,0,357,Storage Bucket,True,186,In Progress,,7.7
VULN-000013,AST-01595,CVE-2026-67283,Privilege Escalation,4.1,Medium,1.8,Network,Low,High,Required,False,False,0,696,API Gateway,True,5,Mitigated,,0.9
VULN-000014,AST-00154,CVE-2021-8822,SQL Injection,1.9,Low,0.9,Network,Low,None,Required,False,True,63,531,VPN Gateway,False,0,Mitigated,,0.1
VULN-000015,AST-08131,CVE-2026-26899,Insecure Default Configuration,7.4,High,3.4,Adjacent,Low,High,Required,True,True,12,21,VPN Gateway,True,17,Mitigated,,5.8
VULN-000016,AST-09151,CVE-2025-64306,Information Disclosure,2.3,Low,0.9,Physical,High,Low,None,False,False,0,231,API Gateway,True,198,False Positive,,3.7
VULN-000017,AST-08777,CVE-2025-92234,LDAP Injection,5.0,Medium,1.6,Local,High,None,Required,False,True,252,810,Cloud VM,True,776,Mitigated,,1.9
VULN-000018,AST-05348,CVE-2023-78058,Path Traversal,6.4,Medium,2.2,Network,High,None,None,False,True,313,570,VPN Gateway,True,295,Mitigated,,3.7
VULN-000019,AST-03074,CVE-2022-70204,Authentication Bypass,2.7,Low,0.8,Network,Low,High,None,True,True,106,177,IoT Device,False,0,Mitigated,,2.3
VULN-000020,AST-07950,CVE-2023-75524,Improper Access Control,8.9,High,2.8,Adjacent,High,High,None,False,False,0,759,Network Device,True,381,Open,2026-09-21,10
VULN-000021,AST-06566,CVE-2026-46942,Command Injection,4.5,Medium,2.1,Network,High,None,None,False,False,0,71,Domain Controller,False,0,Mitigated,,1.6
